뜻,단어,품사
하나의,a,DT
-에 대하여,about,IN
-보다 위에,above,IN
학술원,academy,NN
액센트,accent,NN
뜻밖의 사건,accident,NN
가로질러,across,IN
vi행동하다,act,NN
추가하다,add,VB
말을 걸다,address,NN
성인,adult,NN
모험 모험하다,adventure,NN
충고하다,advise,NN
두려워하여,afraid,NN
후에,after,IN
오후,afternoon,NN
다시,again,RB
…에 반대하여,against,IN
연령,age,NN
이전에,ago,RB
동의하다,agree,NN
전방에,ahead,RB
공기,air,NN
비행기,airplane,NN
정기항공,airline,NN
공항,airport,NN
모든,all,DT
거의,almost,RB
다만 홀로(혼자서),alone,RB
-을 따라,along,IN
큰 소리로,aloud,NN
이미,already,RB
더할나위없이,alright,NN
-도 또한,also,RB
늘,always,RB
오전,A.M.,NN
및,and,CC
천사,angel,NN
성,anger,NN
동물,animal,NN
또 하나,another,DT
대답,answer,NN
개미,ant,NN
어떤,any,DT
사과,apple,NN
면적,area,NN
팔,arm,NN
사방에,around,IN
도착하다,arrive,JJ
예술,art,NN
-와 같은 정도로,as,IN
묻다,ask,NN
-에서,at,IN
아주머니,aunt,NN
떨어져서,away,RB
"갓난아이, 막내   관심사, 골치아픈 일,",baby,NN
등,back,RB
배경,background,NN
나쁜,bad,JJ
굽다,bake,NN
공,ball,NN
기구,balloon,NN
그룹,band,NN
둑,bank,NN
기초,base,NN
야구,baseball,NN
기본의,basic,JJ
바구니,basket,NN
농구,basketball,NN
배트,bat,NN
목욕,bath,NN
욕실,bathroom,NN
전지,battery,NN
전투,battle,NN
-이다,be,VB
해안,beach,NN
콩,bean,NN
나르다,bear,NN
아름다움,beauty,NN
왜냐하면,because,IN
-이 되다,become,NN
침대,bed,NN
침실 성적인,bedroom,NN
꿀벌,bee,NN
쇠고기,beef,NN
앞에,before,IN
시작하다,begin,NN
뒤에,behind,IN
믿다,believe,VB
종,bell,NN
아래에,below,IN
-의 곁에,beside,NN
-의 사이에 사이에,between,IN
자전거 자전거를 타다,bicycle,NN
큰,big,JJ
계산서,bill,NN
새,bird,NN
출생,birth,NN
생일,birthday,NN
물다,bite,NN
검은,black,JJ
덩어리,block,NN
피,blood,NN
푸른,blue,NN
널빤지,board,NN
배,boat,NN
신체,body,NN
폭탄 폭격하다,bomb,NN
뼈,bone,NN
책,book,NN
목이 긴 구두,boot,NN
빌다,borrow,NN
두목,boss,NN
쌍방의,both,DT
병,bottle,NN
밑바닥,bottom,NN
사발,bowl,NN
소년,boy,NN
뇌,brain,NN
브레이크,brake,NN
가지,branch,NN
상표,brand,NN
용감한,brave,NN
빵,bread,NN
부수다,break,NN
아침밥,breakfast,NN
다리,bridge,NN
밝은,bright,NN
가져오다,bring,NN
형제,brother,NN
갈색의 갈색,brown,NN
솔,brush,NN
거품 거품이 일다,bubble,JJ
벌레,bug,NN
짓다,build,NN
시내,burn,NN
직업,business,NN
바쁜,busy,JJ
그러나 다만 (-을)제외하고,but,CC
단추 단추를 채우다 단추로 채워지다,button,NN
사다,buy,VB
곁에,by,IN
새장,cage,NN
달력,calendar,NN
부르다,call,NN
평온한,calm,NN
au-할 수 있다,can,MD
사탕과자,candy,NN
모자,cap,NN
우두머리(chief),captain,NN
자동차,car,NN
걱정,care,NN
당근,carrot,NN
나르다,carry,NN
(2륜)짐마차,cart,NN
경우,case,NN
현금 현금으로 바꾸다 현금의,cash,NN
성,castle,NN
고양이,cat,NN
붙잡다,catch,NN
확신하는,certain,JJ
사슬,chain,NN
의장,chair,NN
우연,chance,NN
변화,change,NN
값싼,cheap,NN
방해,check,NN
아이,child,NN
고르다,choose,NN
교회,church,NN
영화관,cinema,NN
원,circle,NN
도시,city,NN
계급,class,NN
교실,classroom,NN
청결한,clean,NN
맑은,clear,JJ
서기,clerk,NN
영리한,clever,NN
기어 오르다,climb,NN
가위로 자르다,clip,NN
시계,clock,NN
닫다,close,RB
천,cloth,NN
구름,cloud,NN
클럽,club,NN
화폐,coin,NN
추운,cold,NN
모으다,collect,NN
단과대학,college,NN
착색하다,color,NN
오다,come,VB
희극,comedy,NN
교제,company,NN
연주회,concert,NN
조건,condition,NN
축하하다,congratulate,NN
겨루다,contest,NN
억제하다,control,NN
요리하다 요리사,cook,NN
쿠키,cookie,NN
서늘한,cool,NN
사본,copy,NN
모퉁이,corner,NN
가격,cost,NN
목화,cotton,NN
aucan의 과거,could,MD
나라,country,NN
시골,countryside,NN
한 쌍,couple,NN
사촌,cousin,NN
덮다,cover,NN
위협하다 암소,cow,NN
미친,crazy,NN
십자형,cross,NN
군중,crowd,NN
왕관,crown,NN
소리치다,cry,NN
문화,culture,NN
이상스러운,curious,JJ
커어튼,curtain,NN
고객,customer,NN
베다,cut,NN
귀여운,cute,NN
순환,cycle,NN
아빠,dad,NN
댄스,dance,NN
위험,danger,NN
어두운,dark,NN
날짜,date,NN
딸,daughter,NN
낮,day,NN
죽은,dead,JJ
죽음,death,NN
결정하다,decide,NN
깊은,deep,NN
맛있는,delicious,JJ
치과의사,dentist,NN
디자인,design,NN
책상,desk,NN
대화,dialogue,NN
일기,diary,JJ
죽다,die,NN
다른,different,JJ
곤란한,difficult,JJ
정찬,dinner,NN
더러운,dirty,NN
토론하다,discuss,NN
접시,dish,NN
나누다,divide,NN
하다,do,VB
박사,doctor,NN
개,dog,NN
인형,doll,NN
돌고래,dolphin,NN
문,door,NN
2배의,double,RB
아래로,down,RB
당기다,draw,NN
꿈,dream,NN
마시다,drink,NN
운전하다,drive,NN
방울,drop,NN
마른,dry,NN
머리를 물 속에 쑥 쳐박다,duck,NN
-동안에,during,IN
귀,ear,NN
이른,early,RB
지구,earth,NN
동쪽 동쪽의 동쪽으로,east,NN
쉬운,easy,JJ
먹다,eat,NN
알,egg,NN
기본의,elementary,JJ
코끼리,elephant,NN
끝,end,NN
엔진,engine,NN
기사,engineer,NN
즐기다,enjoy,NN
충분한,enough,RB
들어가다,enter,NN
지우는 사람,eraser,NN
잘못,error,NN
저녁,evening,VBG
모든,every,DT
시험,exam,NN
보기,example,NN
운동,exercise,NN
출구,exit,NN
눈,eye,NN
얼굴,face,NN
사실,fact,NN
공장,factory,NN
실패하다,fail,NN
떨어지다,fall,NN
가족,family,NN
유명한,famous,JJ
(영화 등의)팬,fan,NN
환상적인,fantastic,JJ
멀리,far,RB
농장,farm,NN
빠른,fast,NN
살찐,fat,NN
아버지,father,NN
마음에 드는 좋아하는 물건,favorite,NN
만져보다,feel,NN
열,fever,NN
들,field,NN
싸움,fight,NN
종이끼우개,file,NN
가득 채우다,fill,NN
발견하다,find,VB
훌륭한,fine,NN
손가락 손가락을 대다,finger,NN
끝내다,finish,NN
불,fire,NN
물고기,fish,NN
고정시키다,fix,NN
기,flag,NN
마룻바닥,floor,NN
꽃,flower,NN
날다,fly,NN
초점,focus,NN
안개,fog,NN
음식,food,NN
바보,fool,NN
발,foot,NN
축구,football,NN
대신에,for,IN
숲,forest,NN
영원히,forever,RB
잊다,forget,NN
모양,form,NN
교활한 사람,fox,NN
자유로운,free,JJ
새로운,fresh,JJ
친구,friend,NN
개구리,frog,NN
"(분리,이탈,출발점,기점)-로 부터",from,IN
정면,front,NN
과일,fruit,NN
기름으로 튀기다,fry,NN
가득찬,full,JJ
즐거운 생각,fun,NN
미래,future,NN
뜰,garden,NN
문,gate,NN
신사,gentleman,NN
몸짓,gesture,NN
얻다,get,VB
유령,ghost,NN
거인,giant,NN
선물,gift,NN
기린,giraffe,NN
소녀,girl,NN
주다,give,VB
기쁜,glad,NN
유리,glass,NN
장갑,glove,NN
아교,glue,NN
가다,go,VB
결승점,goal,NN
신,god,NN
금,gold,NN
좋은,good,JJ
안녕히 가세요,goodbye,NN
할아버지,grandfather,NN
포도,grape,NN
풀밭,grass,NN
커다란,great,JJ
초록색,green,JJ
회색의,grey,NN
땅,ground,NN
집단,group,NN
성장하다,grow,NN
추측(짐작)하다,guess,NN
이끌다,guide,NN
녀석,guy,NN
습관,habit,NN
털,hair,NN
손,hand,NN
얼굴(자태)이 잘생긴,handsome,NN
걸다,hang,NN
행운의,happy,JJ
단단한,hard,JJ
(테있는)모자 모자를 씌우다,hat,NN
미워하다,hate,NN
가지(고 있)다,have,VB
(3인칭단수 남성)그,he,PRP
머리,head,NN
두통,headache,NN
심장,heart,NN
열,heat,NN
하늘,heaven,NN
무거운,heavy,JJ
헬리콥터,helicopter,NN
여보,hello,NN
돕다,help,NN
여기에,here,RB
영웅,hero,NN
높은,high,JJ
"언덕, 낮은 산 인도 고지",hill,NN
역사,history,NN
명중하다,hit,NN
취미,hobby,NN
손에 갖고 있다,hold,NN
휴일,holiday,NN
가정,home,NN
숙제,homework,NN
정직한,honest,NN
벌꿀,honey,NN
희망,hope,NN
말,horse,NN
병원,hospital,NN
뜨거운,hot,JJ
시간,hour,NN
집,house,NN
어떻게,how,WRB
아무리,however,RB
인간의,human,NN
유우머,humor,NN
100 100의,hundred,VBN
배고픈,hungry,NN
사냥하다,hunt,NN
서두르다,hurry,NN
남편 절약하다,husband,NN
"나는, 내가",I,PRP
얼음,ice,NN
관념,idea,NN
만일 -이라면,if,IN
중요한,important,JJ
-속에,in,IN
안쪽,inside,IN
-안으로,into,IN
안으로 들이다,introduce,NN
초대하다,invite,NN
그것은,it,PRP
청바지,jeans,NNS
일,job,NN
결합하다,join,NN
즐거움,joy,NN
올바른,just,RB
계속하다,keep,VB
열쇠,key,NN
걷어차다,kick,NN
아이,kid,NN
죽이다,kill,NN
친절한,kind,NN
왕,king,NN
부엌,kitchen,NN
나이프,knife,NN
알다,know,VB
귀부인,lady,NN
호수,lake,NN
뭍,land,NN
큰,large,JJ
계속하다,last,JJ
늦은,late,RB
게으른,lazy,NN
잎,leaf,NN
배우다,learn,NN
왼쪽의,left,NN
다리,leg,NN
학과,lesson,NN
편지,letter,NN
도서관,library,NN
눕다,lie,NN
빛,light,NN
좋아하다,like,IN
선,line,NN
사자,lion,NN
입술,lip,NN
경청하다,listen,NN
작은,little,JJ
살다,live,JJ
거실,livingroom,NN
"(길이,시간 등)긴",long,RB
보다,look,NN
사랑,love,NN
낮은,low,JJ
운,luck,NN
점심,lunch,NN
미친,mad,NN
우편물,mail,NN
만들다,make,VB
남자,man,NN
많은,many,JJ
지도,map,NN
결혼하다,marry,NN
수학,mathematics,NNS
"5월  청춘, 인생의 봄  산사나무, 아가위나무",may,MD
(식용짐승의)고기,meat,NN
-을 만나다,meet,NN
기억,memory,NN
한복판의,middle,NN
힘,might,MD
젖,milk,NN
마음,mind,NN
거울,mirror,NN
미혼 여성 실수하다,miss,NN
금전,money,NN
원숭이,monkey,NN
월,month,NN
달,moon,NN
아침,morning,NN
어머니,mother,NN
산,mountain,NN
새앙쥐,mouse,NN
입,mouth,NN
움직이다,move,NN
영화,movie,NN
많은,much,JJ
박물관,museum,NN
음악,music,NN
-해야 한다,must,MD
이름,name,NN
국가,nation,NN
자연,nature,NN
가까이 -의 가까이에 가까운 접근하다,near,IN
목,neck,NN
필요,need,NN
결코 -아니다,never,RB
새로운,new,JJ
신문,newspaper,NN
다음의,next,JJ
니스(프랑스 남부의 항구도시),nice,JJ
밤,night,NN
무의,no,DT
정오,noon,NN
"북, 북 쪽, 북부",north,NN
코,nose,RB
아니다,not,RB
기록,note,NN
아무것도 …없다,nothing,NN
지금,now,RB
수,number,NN
유모,nurse,NN
대양,ocean,NN
출신의,of,IN
떨어져,off,IN
임무,office,NN
자주,often,RB
기름,oil,NN
늙은,old,JJ
위에,on,IN
하나(의),one,CD
유일한,only,RB
열다,open,JJ
혹은,or,CC
밖으로,out,IN
위쪽,over,IN
도료,paint,NN
궁전,palace,NN
바지,pants,NNS
종이,paper,NN
어버이,parent,NN
공원,park,NN
부분,part,NN
지나가다,pass,NN
지불하다,pay,NN
평화,peace,NN
서양배,pear,NN
연필 연필로 쓰다,pencil,NN
사람들,people,NNS
따다,pick,NN
소풍,picnic,NN
그림,picture,NN
돼지,pig,NN
연분홍색,pink,NN
장소,place,NN
계획,plan,NN
놀다,play,NN
기쁘게 하다,please,NN
오후,P.M.,NN
포켓,pocket,NN
점,point,NN
경찰 경비하다,police,NNS
"가난한 부족한, 불충분한, 빈약한",poor,JJ
감자,potato,NN
힘,power,NN
"있는, 존재하는",present,NN
"예쁜, 귀여운, 참 한, 조촐한",pretty,RB
"왕자, 태자, 세자, 대군",prince,NN
"인쇄하다, 프린트하다",print,NN
"상, 포상, 우등상, 선행상",prize,NN
문제,problem,NN
강아지,puppy,JJ
"밀다, 밀치다, 밀어서 움직 이다, 밀어 내다",push,NN
"놓다, 두다",put,NN
"당황, 혼란 괴롭히는 사람,  어려운 문제",puzzle,NN
여왕,queen,NN
"물음, 질문, 질의",question,NN
빠른,quick,NN
조용한,quiet,JJ
집토끼,rabbit,NN
인종,race,NN
비,rain,NN
무지개,rainbow,NN
읽다,read,NN
준비가 된,ready,JJ
붉은,red,JJ
기억하고 있다,remember,VB
요리점,restaurant,NN
화장실,restroom,NN
돌아가다,return,NN
부자인,rich,JJ
올바른,right,NN
고리,ring,NN
강,river,NN
길,road,NN
바위,rock,NN
지붕,roof,NN
방,room,NN
달리다,run,VB
슬픈,sad,NN
안전한,safe,JJ
판매,sale,NN
소금,salt,NN
같은,same,JJ
모래사장,sand,NN
위험에서 구하다,save,VB
말하다,say,VB
학교,school,NN
과학,science,NN
가위,scissors,NNS
득점,score,NN
바다,sea,NN
계절,season,NN
보다,see,VB
팔다,sell,NN
보내다,send,NN
그녀는,she,PRP
배,ship,NN
격돌,shock,NN
구두,shoe,NN
상점,shop,NN
짧은,short,JJ
aushall의 과거,should,MD
보이다,show,NN
수줍은,shy,NN
병난,sick,NN
쪽,side,NN
노래하다,sing,VBG
여자형제,sister,NN
앉다,sit,NN
크기,size,NN
피부,skin,NN
스커어트,skirt,NN
하늘,sky,NN
잠자다,sleep,NN
느린,slow,VB
작은 작은 부분 적게,small,JJ
재치있는,smart,NN
냄새,smell,NN
미소짓다 미소,smile,NN
눈 눈이 내리다,snow,NN
그와 같이,so,RB
축구,soccer,NN
짧은 양말,sock,NN
부드러운,soft,JJ
얼만가의,some,DT
아들,son,NN
노래,song,NN
가엾은,sorry,NN
소리,sound,NN
시큼한 시어지다 시큼한 것,sour,NN
남쪽 남쪽의 남으로,south,NN
공간,space,NN
이야기하다,speak,NN
속도,speed,NN
숟가락,spoon,NN
서다,stand,NN
시작하다,start,NN
머무르다,stay,NN
돌,stone,NN
멈추다,stop,NN
가게,store,NN
층,story,NN
딸기,strawberry,NN
거리,street,NN
압박,stress,NN
강한,strong,JJ
학생,student,NN
학문,study,NN
지하도,subway,NN
설탕,sugar,NN
태양,sun,NN
저녁식사,supper,NN
헤엄치다,swim,NN
테이블,table,NN
꼬리,tail,NN
잡다,take,VB
말하다,talk,NN
키큰,tall,NN
테이프,tape,NN
맛,taste,NN
가르치다,teach,NN
슬픔,teen,NN
전화,telephone,NN
말하다,tell,NN
시험,test,NN
교과서,textbook,NN
-보다도,than,IN
감사하다 감사,thank,NN
저,that,IN
art.저,the,DT
거기에,there,RB
그들,they,PRP
물건,thing,NN
생각하다,think,NN
갈증,thirst,NN
이,this,DT
호랑이,tiger,NN
때,time,NN
-로,to,TO
오늘은,today,NN
같이,together,RB
내일(은),tomorrow,NN
오늘밤에 오늘밤,tonight,NN
(-도)또한,too,RB
이,tooth,NN
정상,top,NN
닿다,touch,NN
일주,tour,NN
탑,tower,NN
읍,town,NN
장난감 장난하다,toy,NN
기차,train,NN
여행하다,travel,NN
나무,tree,NN
각형,triangle,NN
여행,trip,NN
진실,true,JJ
시험해보다,try,NN
돌리다,turn,NN
두 번,twice,RB
형,type,NN
추한,ugly,RB
우산,umbrella,NN
아저씨,uncle,NN
-아래에,under,IN
이해하다,understand,NN
위로,up,RB
쓰다,use,NN
"식물  야채, 푸성귀, 남새, 채소",vegetable,NN
매우,very,RB
"방문하다, …의 손님으로 묵다",visit,NN
"목소리, 음성, 음성",voice,NN
기다리다,wait,NN
잠깨다,wake,NN
걷다,walk,NN
벽,wall,NN
결핍,want,NN
전쟁,war,NN
따뜻한,warm,NN
씻다,wash,NN
손목시계,watch,NN
물,water,NN
수박,watermelon,NN
길,way,NN
우리가,we,PRP
입다,wear,NN
날씨,weather,NN
혼례,wedding,NN
주,week,NN
주말 주말의 주말을 지내다,weekend,NN
무게,weight,NN
환영 환영받는,welcome,NN
잘,well,RB
서쪽,west,NN
축축한,wet,NN
무엇 무슨,what,WP
언제,when,WRB
어디에 (-하는)곳에 pr.어디 (문제의)장소,where,WRB
흰,white,JJ
누구,who,WP
왜,why,WRB
아내,wife,NN
의지,will,MD
이기다,win,NN
바람,wind,NN
창,window,NN
바라다,wish,NN
함께,with,IN
부인,woman,NN
숲,wood,NN
낱말,word,NN
일,work,NN
세계,world,NN
근심하다,worry,NN
쓰다,write,NN
나쁜,wrong,JJ
연,year,NN
황색의 황색,yellow,NN
예,yes,NNS
어제,yesterday,NN
당신,you,PRP
젊은,young,JJ
얼룩말,zebra,NN
동물원,zoo,NN
